x	y	yaw
1.78316	0.164219	0.153813	
1.78299	0.164493	0.153653	
1.78303	0.164464	0.153671	
1.78311	0.164416	0.153703	
1.78281	0.164793	0.153564	
1.78284	0.164827	0.153583	
1.78299	0.164638	0.153683	
1.78307	0.16486	0.153574	
1.7831	0.164807	0.153629	
1.78322	0.164528	0.15375	
1.78313	0.164634	0.153697	
1.78296	0.164706	0.153621	
1.783	0.164837	0.153599	
1.78317	0.164773	0.153626	
1.7832	0.164771	0.153611	
1.78327	0.164491	0.153733	
1.78308	0.164429	0.153711	
1.78304	0.164588	0.153647	
1.78291	0.164539	0.15368	
1.78299	0.164508	0.153709	
1.78304	0.164285	0.153775	
1.78267	0.164607	0.153582	
1.78285	0.16453	0.153649	
1.78307	0.164513	0.153676	
1.783	0.164708	0.153612	
1.78299	0.164664	0.153642	
1.78306	0.164598	0.153684	
1.78308	0.164533	0.153669	
1.78305	0.164652	0.153638	
1.78306	0.164672	0.153635	
1.78315	0.164542	0.153701	
1.78323	0.164668	0.153663	
1.7831	0.164472	0.153698	
1.78329	0.164392	0.153748	
1.78323	0.164387	0.1538	
1.78322	0.164162	0.153859	
1.7831	0.164387	0.153706	
1.78308	0.164288	0.15374	
1.78312	0.164318	0.153757	
1.78315	0.164329	0.153736	
1.78311	0.164591	0.15361	
1.78319	0.164485	0.153653	
1.78317	0.164423	0.153705	
1.78303	0.164484	0.153666	
1.78298	0.164552	0.153646	
1.78309	0.164289	0.153774	
1.78295	0.16446	0.153677	
1.78289	0.164508	0.153696	
1.78293	0.164425	0.153709	
1.78321	0.164406	0.153727	
1.78289	0.164658	0.1536	
1.78287	0.164769	0.15358	
1.78296	0.164671	0.153623	
1.78298	0.1647	0.153628	
1.78296	0.164708	0.153596	
1.78295	0.164744	0.153587	
1.78298	0.164694	0.153596	
1.78313	0.164524	0.153728	
1.78286	0.164857	0.153593	
1.78281	0.164985	0.153521	
1.78286	0.164854	0.153589	
1.78299	0.164584	0.153685	
1.78304	0.16481	0.153615	
1.78312	0.164447	0.153767	
1.78301	0.164762	0.153629	
1.78297	0.164873	0.153559	
1.783	0.164788	0.153615	
1.78305	0.164854	0.153612	
1.78293	0.16499	0.153529	
1.78306	0.164672	0.153678	
1.78306	0.164835	0.153624	
1.78323	0.164809	0.153599	
1.78326	0.164691	0.15363	
1.7832	0.164296	0.153796	
1.78311	0.164484	0.153684	
1.78315	0.164574	0.153626	
1.78316	0.164431	0.153729	
1.78314	0.16443	0.153706	
1.78304	0.164775	0.15358	
1.78311	0.164674	0.153663	
1.78308	0.164713	0.153615	
1.78311	0.164717	0.153637	
1.7831	0.164721	0.153654	
1.78333	0.164681	0.153707	
1.78329	0.164547	0.153753	
1.78322	0.164669	0.153676	
1.78338	0.164503	0.15375	
1.7831	0.164681	0.153624	
1.78319	0.164754	0.153589	
1.78321	0.164565	0.153667	
1.78329	0.164539	0.153712	
1.78333	0.164486	0.153693	
1.78322	0.164335	0.153745	
1.78311	0.164315	0.153762	
1.7831	0.164408	0.153685	
1.7831	0.164495	0.153667	
1.78328	0.164513	0.153708	
1.78304	0.164701	0.153606	
1.78301	0.164615	0.153638	
1.78311	0.164549	0.1537	
1.7833	0.164213	0.15383	
1.78306	0.164266	0.153749	
1.78306	0.164352	0.153724	
1.78289	0.16448	0.15362	
1.78293	0.16442	0.15366	
1.78298	0.164301	0.153737	
1.78301	0.164399	0.153695	
1.78319	0.164321	0.15377	
1.78309	0.164475	0.153678	
1.7833	0.164402	0.15374	
1.78328	0.164386	0.153754	
1.78306	0.164432	0.153682	
1.78331	0.164345	0.153758	
1.78321	0.164485	0.153691	
1.78327	0.164715	0.153625	
1.78328	0.164644	0.153673	
1.78329	0.164735	0.153683	
1.78295	0.164872	0.153558	
1.78288	0.164785	0.153625	
1.78291	0.164822	0.153598	
1.78298	0.16478	0.153621	
1.78315	0.165181	0.153483	
1.78324	0.164836	0.153603	
1.78329	0.164798	0.153603	
1.78333	0.164938	0.15358	
1.78328	0.164724	0.153643	
1.78319	0.16469	0.15365	
1.78317	0.164592	0.153633	
1.78302	0.164418	0.153699	
1.78308	0.164117	0.153829	
1.78293	0.164367	0.153751	
1.78301	0.164595	0.153643	
1.78312	0.164255	0.153807	
1.78308	0.16433	0.153763	
1.78294	0.164622	0.153644	
1.78311	0.164469	0.153701	
1.78326	0.164269	0.15382	
1.78308	0.164442	0.153684	
1.78307	0.164274	0.153755	
1.78308	0.164495	0.153659	
1.78301	0.164506	0.153666	
1.78299	0.164517	0.153681	
1.78316	0.164706	0.153635	
1.78313	0.164711	0.153609	
1.78326	0.164636	0.15368	
1.78314	0.164617	0.153672	
1.78313	0.164644	0.15366	
1.78308	0.164615	0.153661	
1.7829	0.164686	0.153591	
1.78292	0.164814	0.15355	
1.78298	0.164776	0.153592	
1.78301	0.16477	0.153593	
1.7832	0.16469	0.15366	
1.78306	0.164861	0.153569	
1.78307	0.1648	0.153621	
1.78322	0.165187	0.153495	
1.78319	0.165093	0.153523	
1.78329	0.16496	0.153612	
1.78319	0.164992	0.153584	
1.78314	0.164903	0.153604	
1.78303	0.165355	0.153432	
1.78298	0.16531	0.153432	
1.78305	0.164971	0.153562	
1.78286	0.165279	0.153414	
1.7834	0.164976	0.153575	
1.78341	0.164783	0.153635	
1.78337	0.164733	0.153648	
1.78337	0.164775	0.153639	
